iter	Logloss
0	0.690363212
1	0.687092415
2	0.6845276126
3	0.6816445338
4	0.6776953335
5	0.6752218951
6	0.6729878397
7	0.6701832883
8	0.6679274797
9	0.6658345259
10	0.6634528545
11	0.6617383419
12	0.6596584481
13	0.6572567474
14	0.6551695198
15	0.65324294
16	0.6514080614
17	0.6494961988
18	0.6475254211
19	0.6454508344
20	0.6426647439
21	0.6408627858
22	0.6395162089
23	0.637915221
24	0.635577419
25	0.6335268142
26	0.6321701869
27	0.6293054639
28	0.6270797964
29	0.6248112155
30	0.6230802943
31	0.6216808191
32	0.6205429481
33	0.61907529
34	0.6179448998
35	0.6159485125
36	0.6148868839
37	0.6137671559
38	0.6126562613
39	0.6114172166
40	0.6103485034
41	0.6091408884
42	0.6081633751
43	0.6071330309
44	0.6062085775
45	0.6049581193
46	0.6038198659
47	0.602823538
48	0.6019393031
49	0.6009104959
50	0.5999416375
51	0.5988412528
52	0.598081352
53	0.5971267503
54	0.5962375552
55	0.5955537495
56	0.5946521749
57	0.5924189451
58	0.5910082869
59	0.58916184
60	0.5883902795
61	0.5869449006
62	0.5853432883
63	0.5847879287
64	0.5840764653
65	0.5829428088
66	0.5822630587
67	0.5813520505
68	0.5804776613
69	0.5792002675
70	0.5784556405
71	0.5769637316
72	0.5756345108
73	0.5750063851
74	0.5743537064
75	0.5736908878
76	0.5731237241
77	0.5723564915
78	0.5706083744
79	0.5701608999
80	0.5696771805
81	0.5691672703
82	0.5681471844
83	0.5674387821
84	0.5666531403
85	0.5655573619
86	0.56521438
87	0.5643624081
88	0.5633327587
89	0.5625999238
90	0.561999658
91	0.561534238
92	0.56082958
93	0.56001991
94	0.5594968585
95	0.5588122464
96	0.5583087629
97	0.5577343803
98	0.5572235062
99	0.5568175177
100	0.5553278782
101	0.5542946656
102	0.5538628126
103	0.5533767573
104	0.5528665124
105	0.5507890255
106	0.5503455879
107	0.5497840359
108	0.5492993989
109	0.5480361318
110	0.547642301
111	0.5473273025
112	0.5467844475
113	0.5463378498
114	0.5458372929
115	0.5451510673
116	0.544858579
117	0.543511574
118	0.5430174124
119	0.5425467775
120	0.5419021011
121	0.5411121773
122	0.5405596045
123	0.5399013644
124	0.5395083416
125	0.5391140879
126	0.5387529358
127	0.5383190818
128	0.5377044815
129	0.5373366041
130	0.5364247798
131	0.5358844389
132	0.5354538459
133	0.5349903766
134	0.5345269538
135	0.5341310956
136	0.5336967379
137	0.5328681257
138	0.5319282054
139	0.5313331514
140	0.5306499081
141	0.5301361714
142	0.5297532402
143	0.5294284662
144	0.5289887479
145	0.5286279953
146	0.5281294913
147	0.527838407
148	0.527296825
149	0.527012149
150	0.5265956923
151	0.5261549914
152	0.5254656402
153	0.5243296349
154	0.5239637023
155	0.5235585502
156	0.5231225049
157	0.5223494435
158	0.5220914533
159	0.5217987114
160	0.5216447958
161	0.5212907157
162	0.5210493162
163	0.5207995989
164	0.520396702
165	0.5200264705
166	0.5196262381
167	0.5192787535
168	0.5189471853
169	0.5181245643
170	0.5178693588
171	0.5175005969
172	0.5167853522
173	0.516541348
174	0.5156141332
175	0.5151415133
176	0.5148855722
177	0.5144667132
178	0.5141397795
179	0.5134883458
180	0.513093031
181	0.5127781066
182	0.5124077934
183	0.5121158586
184	0.5118748904
185	0.5114716035
186	0.5112698939
187	0.5107032296
188	0.5099157865
189	0.509635336
190	0.5093890005
191	0.5086069878
192	0.5082062528
193	0.5077721584
194	0.5074059869
195	0.5071258734
196	0.5068861481
197	0.5066743977
198	0.5063664333
199	0.5061571356
200	0.5057275999
201	0.5054876169
202	0.5051060658
203	0.5047064644
204	0.5044676925
205	0.5041502252
206	0.5039151369
207	0.5036407425
208	0.5034302831
209	0.5031585411
210	0.502710393
211	0.5024525352
212	0.5017671276
213	0.5014130718
214	0.5010469043
215	0.5008927056
216	0.500535734
217	0.5002890642
218	0.4999821739
219	0.4997919922
220	0.4994784775
221	0.4987014167
222	0.4983046413
223	0.4979597367
224	0.4976159239
225	0.4973810014
226	0.4971605148
227	0.4969022585
228	0.4965830836
229	0.4960856429
230	0.4959753057
231	0.4953305177
232	0.4950664089
233	0.4947233427
234	0.4943485565
235	0.4940573351
236	0.493840703
237	0.4934319571
238	0.4932274843
239	0.4930309242
240	0.4922683528
241	0.4919375752
242	0.4914030731
243	0.491087621
244	0.4904318122
245	0.490199511
246	0.4897772007
247	0.4895889711
248	0.4894326381
249	0.4891096845
250	0.4885494598
251	0.488266068
252	0.487973316
253	0.4875480362
254	0.4871982045
255	0.4868260944
256	0.4865893504
257	0.4859637974
258	0.4856233854
259	0.4853234467
260	0.4850599878
261	0.4847837255
262	0.4842558678
263	0.4839947978
264	0.4836475019
265	0.4833767097
266	0.4830071796
267	0.4827466656
268	0.4823594106
269	0.4820111937
270	0.4817027905
271	0.4813780134
272	0.4811081822
273	0.4804947365
274	0.4802534675
275	0.4800183307
276	0.4797032778
277	0.4793514414
278	0.4790946285
279	0.478918925
280	0.4785119446
281	0.478251909
282	0.4778735677
283	0.4777365172
284	0.4773633123
285	0.4771311629
286	0.4768326941
287	0.4765267897
288	0.4758441074
289	0.4755893642
290	0.4753719368
291	0.4751775524
292	0.4748209664
293	0.4745535689
294	0.4743409576
295	0.4741308832
296	0.473698334
297	0.4734611559
298	0.473243058
299	0.4729128448
